dataset,geo_level,file_id,checksum,rules_fingerprint,verdict,sheet,checked_at
mapbiomas_mining,indigenous_land,295,4248d6c024df1f670e5e3f3e3489fec3,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,297,2c9772c0e8937cc0176ecd2ed4e76827,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,299,c0ee4773502c409e0f0a4502aef47907,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,301,0c76606261231866c702406f44e70413,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,303,9018898d283acc7532c05fa79e85a986,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,322,209452ebd6daf7239b82381cf71c8595,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,324,312aa47cb6c24cb02778d400c4769c9f,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,326,3b540ccb08a8e7fd3dab294d768036ed,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,328,6a127747157a6a442886c6498cf5d944,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,336,bb0207dffc938f947b1e8c242002f7e3,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,338,905f06f7034a1b97912336dfa2dc0075,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,342,2db662f8fd56feccaf5a71a0aebc0ccd,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,457,dc556233cd78a3c55e8e668b0175f029,2361,fail,,2026-08-24
mapbiomas_mining,indigenous_land,529,98b0e55e9f21c4411e3e252fd978ba7a,2361,fail,,2026-08-24
mapbiomas_mining,municipality,264,90547d52878121200e48b1d0f3be8177,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,270,132c26b0a4c2767e1ffa5e956c5c5872,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,281,701caed0c9084397a7a226df8337bddb,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,295,4248d6c024df1f670e5e3f3e3489fec3,a4a3,fail,,2026-08-24
mapbiomas_mining,municipality,297,2c9772c0e8937cc0176ecd2ed4e76827,a4a3,fail,,2026-08-24
