survey,dataset,geo_level,year,sidra_code,url,docs_url,available_time,available_geo,archive_file,sheet,layer_name,version,resolver
pam,broad_bean,,,1612/c81/2701,,,,,,,,,
pam,cashew,,,1613/c82/40473,,,1974-1987,,,,,,
pam,cashew_nut,,,1613/c82/2725,,,1988-2023,,,,,,
pam,cassava,,,1612/c81/2708,,,,,,,,,
pam,castor_bean,,,1612/c81/2707,,,,,,,,,
pam,cocoa_beans,,,1613/c82/2722,,,,,,,,,
pam,coconut,,,1613/c82/2727,,,,,,,,,
pam,coconut_bunch,,,1613/c82/2728,,,1988-2023,,,,,,
pam,coffee_arabica,,,1613/c82/31619,,,2012-2023,,,,,,
pam,coffee_canephora,,,1613/c82/31620,,,2012-2023,,,,,,
pam,coffee_total,,,1613/c82/2723,,,,,,,,,
pam,corn,,,839/all/all,,,2003-2023,,,,,,
pam,corn_temporary,,,1612/c81/2711,,,,,,,,,
pam,cotton_arboreo,,,1613/c82/2718,,,,,,,,,
pam,cotton_herbaceous,,,1612/c81/2689,,,,,,,,,
pam,fig,,,1613/c82/2730,,,,,,,,,
pam,forage_cane,,,1612/c81/40470,,,1974-1987,,,,,,
pam,garlic,,,1612/c81/2690,,,,,,,,,
pam,grape,,,1613/c82/2748,,,,,,,,,
pam,guarana_seeds,,,1613/c82/2732,,,1981-2023,,,,,,
pam,guava,,,1613/c82/2731,,,1988-2023,,,,,,
pam,india_tea,,,1613/c82/2726,,,,,,,,,
pam,jute_fiber,,,1612/c81/2704,,,,,,,,,
pam,khaki,,,1613/c82/2724,,,,,,,,,
pam,lemon,,,1613/c82/2734,,,,,,,,,
pam,linen_seeds,,,1612/c81/2705,,,,,,,,,
pam,malva_fiber,,,1612/c81/2706,,,,,,,,,
pam,mango,,,1613/c82/2737,,,,,,,,,
pam,melon,,,1612/c81/2710,,,,,,,,,
pam,oats,,,1612/c81/2693,,,,,,,,,
pam,olive,,,1613/c82/2719,,,,,,,,,
pam,onion,,,1612/c81/2697,,,,,,,,,
pam,orange,,,1613/c82/2733,,,,,,,,,
pam,papaya,,,1613/c82/2736,,,,,,,,,
pam,passion_fruit,,,1613/c82/2738,,,1988-2023,,,,,,
pam,pea,,,1612/c81/2700,,,1988-2023,,,,,,
pam,peach,,,1613/c82/2742,,,,,,,,,
pam,peanut,,,1000/all/all,,,2003-2023,,,,,,
pam,peanut_temporary,,,1612/c81/2691,,,,,,,,,
pam,pear,,,1613/c82/2741,,,,,,,,,
pam,permanent_crops,,,1613/all/all,,,,,,,,,
pam,permanent_total,,,1613/c82/0,,,,,,,,,
pam,pineapple,,,1612/c81/2688,,,,,,,,,
pam,potato,,,1001/all/all,,,2003-2023,,,,,,
pam,potato_temporary,,,1612/c81/2695,,,,,,,,,
pam,quince,,,1613/c82/2739,,,,,,,,,
pam,ramie_fiber,,,1612/c81/2712,,,,,,,,,
pam,rice,,,1612/c81/2692,,,,,,,,,
pam,rubber_coagulated_latex,,,1613/c82/2721,,,1981-2023,,,,,,
pam,rubber_liquid_latex,,,1613/c82/40472,,,1981-1987,,,,,,
pam,rye,,,1612/c81/2698,,,,,,,,,
pam,sisal_or_agave,,,1613/c82/2744,,,,,,,,,
pam,sorghum,,,1612/c81/2714,,,,,,,,,
pam,soybean,,,1612/c81/2713,,,,,,,,,
pam,sugar_cane,,,1612/c81/2696,,,,,,,,,
pam,sunflower_seeds,,,1612/c81/109179,,,2005-2023,,,,,,
pam,sweet_potato,,,1612/c81/2694,,,,,,,,,
pam,tangerine,,,1613/c82/2745,,,,,,,,,
pam,temporary_crops,,,1612/all/all,,,,,,,,,
pam,temporary_total,,,1612/c81/0,,,,,,,,,
pam,tobacco,,,1612/c81/2703,,,,,,,,,
pam,tomato,,,1612/c81/2715,,,,,,,,,
pam,triticale,,,1612/c81/109180,,,2005-2023,,,,,,
pam,tung,,,1613/c82/2746,,,,,,,,,
pam,walnut,,,1613/c82/2740,,,,,,,,,
pam,watermelon,,,1612/c81/2709,,,,,,,,,
pam,wheat,,,1612/c81/2716,,,,,,,,,
pam,yerba_mate,,,1613/c82/2729,,,1981-2023,,,,,,
pevs,,,,,,https://sidra.ibge.gov.br/pesquisa/pevs/tabelas/brasil/2019,1986-2023,"country, state, municipality, region",,,,,
pevs,pevs_forest_crops,,,289,,,,,,,,,
pevs,pevs_silviculture,,,291,,,,,,,,,
pevs,pevs_silviculture_area,,,5930,,,2013-2023,,,,,,
pibmunic,pibmunic,,,5938,,https://sidra.ibge.gov.br/pesquisa/pib-munic/tabelas,2002-2021,"country, state, municipality",,,,,
population,population,,,6579,,https://sidra.ibge.gov.br/pesquisa/estimapop/tabelas,2001-2021,"country, state, municipality",,,,,
ppm,,,,,,https://sidra.ibge.gov.br/pesquisa/ppm/tabelas/brasil/2021,1974-2023,"country, state, municipality",,,,,
ppm,ppm_animal_origin_production,,,74,,,,,,,,,
ppm,ppm_aquaculture,,,3940,,,2013-2023,,,,,,
ppm,ppm_cow_farming,,,94,,,,,,,,,
ppm,ppm_livestock_inventory,,,3939,,,,,,,,,
ppm,ppm_sheep_farming,,,95,,,,,,,,,
prodes,,,,,https://terrabrasilis.dpi.inpe.br/download/dataset/legal-amz-prodes/raster/prodes_amazonia_legal_2023.zip,,2023,municipality,,,prodes_amazonia_legal_2023,,
prodes,clouds,,,,,,,,,,,,prodes
prodes,deforestation,,,,,,2007-2023,,,,,,prodes
