Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,Nuvem2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma 
 301,-7.90803,-55.59552,S 7 54 28.91,O 55 35 43.87,Novo Progresso,1505031,PA,38183,5892.6,169.3,28743.2,15.2,0.0,3457.3,74.7,100
 302,-9.81601,-55.35469,S 9 48 57.64,O 55 21 16.88,Novo Mundo,5106265,MT,5803,2546.9,22.5,2701.0,0.7,0.0,536.1,18.3,100
 303,-11.80783,-46.65389,S 11 48 28.19,O 46 39 14.00,Novo Jardim,1715259,TO,1321,0.0,0.0,3.0,0.0,0.0,1318.0,0.0,100
 304,-11.68822,-62.08450,S 11 41 17.59,O 62 5 4.20,Novo Horizonte do Oeste,1100502,RO,852,745.5,0.9,101.9,0.0,0.0,4.6,0.0,100
 305,-11.39761,-57.27370,S 11 23 51.40,O 57 16 25.32,Novo Horizonte do Norte,5106273,MT,909,705.4,0.4,196.3,0.0,0.0,0.0,7.3,99
 306,-6.83379,-60.23604,S 6 50 1.64,O 60 14 9.74,Novo Aripuanã,1303304,AM,41452,1055.2,53.4,38021.5,12.5,0.0,1620.2,742.6,100
 307,-12.88746,-46.58528,S 12 53 14.86,O 46 35 7.01,Novo Alegre,1715150,TO,201,0.0,0.0,43.9,0.0,0.0,157.1,0.0,100
 308,-1.51628,-61.51599,S 1 30 58.61,O 61 30 57.56,Novo Airão,1303205,AM,38114,120.9,0.6,35983.1,439.4,0.0,211.9,1358.7,100
 309,-10.15926,-47.24617,S 10 9 33.34,O 47 14 46.21,Novo Acordo,1715101,TO,2686,0.0,0.0,0,0.0,0.0,2686.9,0.0,100
 310,-14.67392,-52.44154,S 14 40 26.11,O 52 26 29.54,Nova Xavantina,5106257,MT,5527,787.3,0.0,270.2,0.0,0.0,4443.3,26.2,99
 311,-10.89106,-62.52925,S 10 53 27.82,O 62 31 45.30,Nova União,1101435,RO,815,699.6,0.2,111.4,0.0,0.0,4.0,0.0,100
 312,-12.96602,-54.87016,S 12 57 57.67,O 54 52 12.58,Nova Ubiratã,5106240,MT,12694,4388.8,28.1,5512.2,0.0,0.0,2792.5,0.5,99
 313,-1.16917,-47.40530,S 1 10 9.01,O 47 24 19.08,Nova Timboteua,1505007,PA,492,377.5,0.3,68.3,22.7,0.0,19.5,4.0,99
 314,-10.91215,-55.03085,S 10 54 43.74,O 55 1 51.06,Nova Santa Helena,5106190,MT,2346,1343.2,1.9,1001.7,0.0,0.0,1.1,0.0,100
